time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20211210,1628.02,1633.12,1611.82,1627.62,0.0,-0.17,102.29,76.31,0.0,0.0
20211213,1631.16,1641.38,1627.85,1631.46,0.0,0.24,91.82,62.14,0.0,0.0
20211214,1634.63,1648.21,1634.4,1638.95,0.0,0.46,80.14,59.16,0.0,0.0
20211215,1646.12,1649.09,1617.36,1618.72,0.0,-1.23,88.24,76.78,0.0,0.0
20211216,1620.23,1633.13,1606.24,1612.91,0.0,-0.36,69.37,57.95,0.0,0.0
20211217,1613.65,1617.74,1585.53,1590.85,0.0,-1.37,65.73,58.34,0.0,0.0
20211220,1594.2,1614.71,1581.37,1583.06,0.0,-0.49,75.74,67.22,0.0,0.0
20211221,1583.86,1594.47,1570.99,1581.93,0.0,-0.07,65.07,51.38,0.0,0.0
20211222,1584.38,1602.3,1584.28,1595.52,0.0,0.86,67.04,49.73,0.0,0.0
20211223,1594.56,1597.84,1567.47,1569.42,0.0,-1.64,73.31,52.14,0.0,0.0
20211224,1570.85,1580.02,1564.18,1567.26,0.0,-0.14,67.59,49.33,0.0,0.0
20211227,1572.38,1579.18,1548.13,1554.25,0.0,-0.83,78.55,55.2,0.0,0.0
20211228,1553.44,1583.82,1553.44,1582.0,0.0,1.79,84.7,58.16,0.0,0.0
20211229,1583.57,1600.1,1571.84,1581.87,0.0,-0.01,77.8,56.03,0.0,0.0
20211230,1598.3,1618.79,1583.44,1610.51,0.0,1.81,104.19,77.15,0.0,0.0
20211231,1616.85,1638.34,1615.89,1630.9,0.0,1.27,127.72,88.79,0.0,0.0
20220104,1623.81,1624.8,1582.34,1583.08,0.0,-2.93,131.9,85.68,0.0,0.0
20220105,1577.58,1585.75,1548.53,1558.79,0.0,-1.54,123.59,83.66,0.0,0.0
20220106,1553.95,1564.64,1540.47,1558.57,0.0,-0.01,99.08,68.48,0.0,0.0
20220107,1561.33,1575.41,1549.89,1551.14,0.0,-0.48,111.83,81.49,0.0,0.0
20220110,1568.69,1605.82,1557.36,1600.06,0.0,3.15,134.44,98.29,0.0,0.0
20220111,1597.65,1607.77,1575.36,1586.14,0.0,-0.87,154.0,112.01,0.0,0.0
20220112,1588.24,1638.29,1575.94,1631.35,0.0,2.85,153.19,118.42,0.0,0.0
20220113,1632.68,1638.77,1602.7,1608.45,0.0,-1.4,149.95,123.86,0.0,0.0
20220114,1609.19,1693.61,1604.68,1682.74,0.0,4.62,251.96,161.48,0.0,0.0
20220117,1686.8,1698.8,1659.1,1663.75,0.0,-1.13,250.73,183.02,0.0,0.0
20220118,1657.5,1657.5,1603.72,1604.98,0.0,-3.53,226.75,148.05,0.0,0.0
20220119,1596.06,1606.24,1574.68,1579.63,0.0,-1.58,155.34,111.33,0.0,0.0
20220120,1584.83,1599.58,1537.87,1538.84,0.0,-2.58,170.79,122.01,0.0,0.0
20220121,1531.02,1531.02,1467.58,1467.58,0.0,-4.63,194.76,118.38,0.0,0.0
20220124,1457.7,1480.01,1456.89,1470.18,0.0,0.18,130.82,83.37,0.0,0.0
20220125,1465.08,1469.69,1412.94,1413.26,0.0,-3.87,134.62,82.33,0.0,0.0
20220126,1416.2,1428.79,1373.77,1384.46,0.0,-2.04,106.72,63.44,0.0,0.0
20220127,1393.61,1403.55,1358.0,1360.57,0.0,-1.73,107.37,64.85,0.0,0.0
20220128,1366.75,1372.33,1342.83,1344.74,0.0,-1.16,103.0,59.16,0.0,0.0
20220207,1363.14,1364.53,1341.63,1347.2,0.0,0.18,89.64,52.84,0.0,0.0
20220208,1342.49,1347.17,1318.27,1339.48,0.0,-0.57,82.36,49.67,0.0,0.0
20220209,1336.61,1361.34,1322.06,1360.37,0.0,1.56,87.19,51.93,0.0,0.0
20220210,1360.15,1362.94,1332.4,1334.23,0.0,-1.92,84.78,55.04,0.0,0.0
20220211,1328.28,1328.28,1278.73,1280.01,0.0,-4.06,104.8,64.01,0.0,0.0
20220214,1275.1,1308.44,1273.07,1292.63,0.0,0.99,90.48,48.98,0.0,0.0
20220215,1291.78,1323.73,1284.85,1322.24,0.0,2.29,77.34,48.31,0.0,0.0
20220216,1325.29,1340.66,1313.09,1330.72,0.0,0.64,77.99,50.22,0.0,0.0
20220217,1330.35,1336.48,1319.96,1326.29,0.0,-0.33,68.08,43.41,0.0,0.0
20220218,1327.99,1348.01,1319.51,1344.08,0.0,1.34,82.14,57.29,0.0,0.0
20220221,1353.72,1370.13,1340.34,1354.69,0.0,0.79,93.95,63.88,0.0,0.0
20220222,1341.65,1341.65,1303.62,1315.47,0.0,-2.9,86.73,52.64,0.0,0.0
20220223,1315.25,1359.42,1315.25,1356.23,0.0,3.1,83.92,51.58,0.0,0.0
20220224,1354.91,1377.96,1314.78,1330.15,0.0,-1.92,134.45,73.53,0.0,0.0
20220225,1343.53,1397.48,1343.53,1387.96,0.0,4.35,123.13,89.57,0.0,0.0
20220228,1394.16,1405.42,1366.26,1397.22,0.0,0.67,129.88,91.34,0.0,0.0
20220301,1396.46,1403.96,1376.6,1384.17,0.0,-0.93,89.91,60.68,0.0,0.0
20220302,1380.03,1386.52,1356.27,1381.07,0.0,-0.22,86.0,59.32,0.0,0.0
20220303,1385.12,1390.51,1371.83,1376.95,0.0,-0.3,113.99,73.07,0.0,0.0
20220304,1371.32,1416.02,1367.31,1385.49,0.0,0.62,122.11,76.68,0.0,0.0
20220307,1385.21,1390.65,1355.53,1363.61,0.0,-1.58,116.47,67.58,0.0,0.0
20220308,1358.84,1361.64,1292.77,1292.77,0.0,-5.2,127.41,75.44,0.0,0.0
20220309,1297.95,1303.84,1227.64,1266.12,0.0,-2.06,121.33,68.33,0.0,0.0
20220310,1299.24,1330.8,1294.9,1330.03,0.0,5.05,127.03,83.31,0.0,0.0
20220311,1324.6,1391.7,1313.18,1389.84,0.0,4.5,191.8,127.97,0.0,0.0
20220314,1401.49,1402.7,1341.02,1341.23,0.0,-3.5,181.92,144.96,0.0,0.0
20220315,1318.87,1341.4,1279.89,1279.89,0.0,-4.57,154.89,104.57,0.0,0.0
20220316,1301.08,1304.82,1213.06,1271.99,0.0,-0.62,153.65,104.09,0.0,0.0
20220317,1285.27,1363.15,1285.27,1334.34,0.0,4.9,166.6,110.6,0.0,0.0
20220318,1332.65,1369.23,1327.01,1369.23,0.0,2.61,146.21,105.62,0.0,0.0
20220321,1380.03,1400.39,1370.14,1399.52,0.0,2.21,147.26,112.74,0.0,0.0
20220322,1394.39,1394.39,1362.69,1363.32,0.0,-2.59,119.44,81.34,0.0,0.0
20220323,1364.17,1403.17,1354.6,1384.58,0.0,1.56,95.8,72.29,0.0,0.0
20220324,1377.27,1417.02,1363.53,1407.35,0.0,1.65,107.73,87.94,0.0,0.0
20220325,1403.47,1407.33,1362.79,1362.79,0.0,-3.17,96.44,70.88,0.0,0.0
20220328,1359.89,1365.72,1333.12,1342.78,0.0,-1.47,84.76,63.11,0.0,0.0
20220329,1349.22,1369.87,1332.88,1336.96,0.0,-0.43,95.21,70.2,0.0,0.0
20220330,1344.35,1376.54,1323.08,1372.54,0.0,2.66,97.3,78.52,0.0,0.0
20220331,1371.66,1387.75,1354.53,1363.74,0.0,-0.64,109.74,77.8,0.0,0.0
20220401,1355.52,1355.52,1334.09,1351.68,0.0,-0.88,87.32,64.89,0.0,0.0
20220406,1362.44,1363.23,1324.07,1330.55,0.0,-1.56,94.54,74.47,0.0,0.0
20220407,1324.65,1332.14,1306.68,1306.72,0.0,-1.79,85.02,55.93,0.0,0.0
20220408,1308.97,1310.26,1268.56,1272.65,0.0,-2.61,89.87,61.24,0.0,0.0
20220411,1267.62,1276.05,1237.46,1242.16,0.0,-2.4,90.16,60.26,0.0,0.0
20220412,1244.02,1259.02,1222.05,1255.87,0.0,1.1,85.25,61.3,0.0,0.0
20220413,1249.78,1249.78,1212.29,1212.43,0.0,-3.46,77.3,53.39,0.0,0.0
20220414,1219.71,1254.51,1219.11,1248.45,0.0,2.97,96.62,79.12,0.0,0.0
20220415,1241.92,1266.54,1224.96,1254.72,0.0,0.5,95.32,71.05,0.0,0.0
