time,open,close,high,low,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-09-26,842.0,829.35,848.82,826.83,97995405,945.36,883.85,822.33,16.6,21.38,7.04,2,955.48,766.1
2011-09-27,833.64,830.88,839.19,822.84,93057352,934.34,877.69,821.05,15.33,19.37,7.26,2,952.03,763.34
2011-09-28,834.03,817.52,838.33,814.34,88379894,928.06,871.86,815.66,11.76,16.83,1.62,2,945.44,758.05
2011-09-29,813.26,791.89,813.26,791.05,103826257,926.83,865.38,803.92,8.15,13.94,-3.42,2,936.12,750.58
2011-09-30,792.76,791.13,796.48,781.79,82427141,923.62,859.05,794.47,8.55,12.14,1.38,2,926.82,743.13
2011-10-10,792.97,790.04,796.86,786.84,71468223,919.86,853.05,786.25,8.46,10.92,3.55,2,919.64,737.37
2011-10-11,806.7,786.15,812.45,778.05,119847266,919.39,848.17,776.95,8.31,10.05,4.84,1,911.8,731.08
2011-10-12,783.43,816.14,817.02,773.93,163748050,916.67,845.24,773.81,24.33,14.81,43.37,2,904.59,725.31
2011-10-13,816.53,833.02,835.63,814.63,191023859,908.96,841.91,774.86,42.52,24.05,79.47,2,902.39,723.53
2011-10-14,830.48,830.2,833.03,819.98,144569977,901.95,838.82,775.7,57.09,35.06,101.15,2,900.91,722.35
2011-10-17,832.86,832.29,839.26,826.81,145821900,896.39,836.36,776.33,67.84,45.98,111.54,2,901.24,722.61
2011-10-18,826.53,806.6,828.18,806.0,161382217,893.76,833.59,773.43,61.89,51.29,83.1,2,898.54,720.45
2011-10-19,807.21,804.44,813.95,798.8,132652867,887.94,829.97,771.99,56.83,53.13,64.22,2,897.09,719.29
2011-10-20,801.03,778.95,801.03,771.15,145773923,883.14,825.12,767.1,41.7,49.32,26.46,2,895.65,718.14
2011-10-21,777.03,763.3,779.46,760.16,111305192,878.8,819.54,760.29,29.13,42.59,2.19,2,892.57,715.66
2011-10-24,761.43,772.41,772.96,741.33,162022100,875.76,815.43,755.09,30.0,38.39,13.2,2,890.61,714.09
2011-10-25,770.84,797.86,799.1,769.29,213374696,870.14,812.48,754.82,39.24,38.67,40.37,2,891.91,715.13
2011-10-26,794.29,811.13,820.81,791.0,286014467,857.32,808.98,760.65,49.92,42.42,64.91,2,891.35,714.69
2011-10-27,810.72,810.92,821.29,807.12,241696862,850.86,806.88,762.91,56.97,47.27,76.36,2,888.9,712.72
2011-10-28,820.42,833.42,833.73,813.93,285690599,848.87,806.38,763.89,71.2,55.25,103.1,2,889.26,713.01
2011-10-31,834.3,852.8,852.8,831.5,337067100,853.66,807.55,761.45,80.8,63.76,114.87,2,891.53,714.83
